Team,ioc-code,gold,silver,bronze,total,latitude,longitude
Cyprus,CYP,0,1,0,1,35.126413,33.429859
Djibouti,DJI,0,0,1,1,11.825138,42.590275
Eritrea,ERI,0,0,1,1,15.179384,39.782334
Fiji,FJI,1,0,0,1,-16.578193,179.414413
Gabon,GAB,0,1,0,1,-0.803689,11.609444
Guatemala,GTM,0,1,0,1,15.783471,-90.230759
Guyana,GUY,0,0,1,1,4.860416,-58.93018
Iraq,IRQ,0,0,1,1,33.223191,43.679291
Jordan,JOR,1,0,0,1,30.585164,36.238414
Kosovo,KOS,1,0,0,1,42.602636,20.902977
Mauritius,MUS,0,0,1,1,-20.348404,57.552152
Montenegro,MNE,0,1,0,1,42.708678,19.37439
Macedonia,MKD,0,0,1,1,41.608635,21.745275
Paraguay,PRY,0,1,0,1,-23.442503,-58.443832
Samoa,WSM,0,1,0,1,-13.759029,-172.104629
Senegal,SEN,0,1,0,1,14.497401,-14.452362
Sudan,SDN,0,1,0,1,12.862807,30.217636
Togo,TGO,0,0,1,1,8.619543,0.824782
Tonga,TON,0,1,0,1,-21.178986,-175.198242
British Virgin Islands,VGB,0,1,0,1,18.420695,-64.639968
Liechtenstein,LIE,0,0,0,0,47.166,9.555373
